towards_goal_reward,pos_reward,upright_reward,alignment_reward,angvel_reward,vel_reward,action_cost,action_difference_penalty,towards_goal_percentage,pos_reward_percentage,other_percentage
-31.627975463867188,5.485851287841797,2.3690285682678223,1.579024314880371,0.8380826711654663,2.650930404663086,0.0,-6.828780651092529,100.05840301513672,0.30046430230140686,-0.3588758707046509
0.0035253518726676702,6.584242820739746,1.085541844367981,1.4958651065826416,0.8382059931755066,1.787661075592041,0.0,-2.254739284515381,1.476597547531128,55.399940490722656,43.12344741821289
-0.0006016094703227282,7.343125343322754,1.2212326526641846,1.3540536165237427,0.568475604057312,1.5496411323547363,0.0,-2.2991955280303955,-0.31709399819374084,44.0123176574707,56.304771423339844
-0.0028059640899300575,7.873619556427002,1.168760895729065,1.3633835315704346,0.4270278215408325,1.5527119636535645,0.0,-2.306882858276367,-1.5366108417510986,41.17692947387695,60.359676361083984
-0.005694015882909298,8.41468334197998,1.1324509382247925,1.3323757648468018,0.3352468013763428,1.596266746520996,0.0,-2.3160810470581055,-3.153442859649658,39.58273696899414,63.570701599121094
-0.008972208946943283,8.7689790725708,1.086600661277771,1.3411118984222412,0.2648427486419678,1.61708664894104,0.0,-2.3407516479492188,-5.014556884765625,39.41376495361328,65.60079193115234
-0.011402256786823273,9.108457565307617,1.0777868032455444,1.325626254081726,0.21552544832229614,1.6166927814483643,0.0,-2.3713254928588867,-6.462635040283203,38.343719482421875,68.1189193725586
-0.016000650823116302,9.46043586730957,1.041961669921875,1.3097693920135498,0.1678486466407776,1.6178076267242432,0.0,-2.3280391693115234,-9.156211853027344,38.839054107666016,70.3171615600586
-0.018747981637716293,9.519277572631836,1.0057920217514038,1.2718414068222046,0.1340491622686386,1.5839338302612305,0.0,-2.3176960945129395,-11.609475135803223,35.7957649230957,75.813720703125
-0.02397371456027031,9.708717346191406,0.9868029356002808,1.2542959451675415,0.10912036895751953,1.5574901103973389,0.0,-2.3216731548309326,-15.705095291137695,34.72121810913086,80.98388671875
-0.028414763510227203,9.830085754394531,0.9682551026344299,1.2927665710449219,0.09119263291358948,1.5300387144088745,0.0,-2.310922622680664,-18.500450134277344,37.63837432861328,80.8620834350586
-0.03236067295074463,10.002490997314453,0.9222224354743958,1.2159478664398193,0.07504625618457794,1.4896724224090576,0.0,-2.3130111694335938,-24.32164764404297,30.453521728515625,93.86812591552734
-0.037455979734659195,10.012386322021484,0.8609896898269653,1.1846286058425903,0.0648413673043251,1.4725639820098877,0.0,-2.272583484649658,-29.640249252319336,31.4293212890625,98.21092224121094
-0.04344119131565094,10.100944519042969,0.8321934938430786,1.1876134872436523,0.05446193739771843,1.4342877864837646,0.0,-2.2898621559143066,-36.49449157714844,32.13951110839844,104.35498046875
-0.048168838024139404,10.189538955688477,0.7949238419532776,1.1897903680801392,0.04640353098511696,1.4090956449508667,0.0,-2.263740301132202,-42.548465728759766,32.66388702392578,109.88457489013672
-0.05358392745256424,10.226645469665527,0.7750864028930664,1.2151765823364258,0.03880317136645317,1.3931633234024048,0.0,-2.271498680114746,-49.447227478027344,34.709110260009766,114.73810577392578
-0.05992213636636734,10.196465492248535,0.6885707378387451,1.1901835203170776,0.03688032180070877,1.3707597255706787,0.0,-2.268080234527588,-63.71760559082031,33.00466537475586,130.7129364013672
-0.0667019933462143,10.255853652954102,0.6613616347312927,1.201004981994629,0.03363402932882309,1.3413336277008057,0.0,-2.257256031036377,-77.00262451171875,35.098262786865234,141.90435791015625
-0.07246701419353485,10.276164054870605,0.6246405839920044,1.1510779857635498,0.03465364873409271,1.3204357624053955,0.0,-2.2692017555236816,-98.71312713623047,31.765777587890625,166.9473419189453
